Title,Also Called,Condensed Summary,Physician
Adrenal Gland Disorders,,What are adrenal glands? Your adrenal glands are two small organs that sit on top of each kidney.,Endocrinology
After Surgery,"Postoperative care, Recovery from surgery","After any operation, you'll have some side effects. There is usually some pain with surgery.","Orthopedic Surgery, Physical Medicine and Rehabilitation"
Air Pollution,,"Air pollution is a mixture of solid particles and gases in the air. Car emissions, chemicals from factories, dust, pollen and mold spores may be suspended as particles.",Medical Toxicology
Alcohol,Drinking,"If you are like many Americans, you drink alcohol at least occasionally. For many people, moderate drinking is probably safe.",Addiction Medicine
Alcohol Use Disorder (AUD),"Alcohol Abuse, Alcohol dependence, Alcoholism","What is alcohol use disorder (AUD)? For most adults, moderate alcohol use is probably not harmful.",Addiction Medicine
Alcohol Use Disorder (AUD) Treatment,"Alcohol Abuse Treatment, Alcoholism Treatment",What is an alcohol use disorder? An alcohol use disorder (AUD) is drinking that causes distress and harm.,Addiction Medicine
Allergy,Hypersensitivity,An allergy is a reaction by your immune system to something that does not bother most other people. People who have allergies often are sensitive to more than one thing.,Otolaryngology
Alpha-1 Antitrypsin Deficiency,"AATD, Alpha-1, Inherited emphysema","What is alpha-1 antitrypsin deficiency (AAT deficiency)? Alpha-1 antitrypsin deficiency (AAT deficiency, or AATD) is an inherited condition that raises your risk for lung and liver disease.",Pulmonology
Alzheimer's Caregivers,,A caregiver gives care to someone who needs help taking care of themselves. It can be rewarding.,Neurology
Alzheimer's Disease,AD,Alzheimer's disease (AD) is the most common form of dementia among older people. Dementia is a brain disorder that seriously affects a person's ability to carry out daily activities.,Neurology
Amblyopia,Lazy eye,"Amblyopia, or ""lazy eye,"" is the most common cause of visual impairment in children. It happens when an eye fails to work properly with the brain.",Ophthalmology
American Indian and Alaska Native Health,"Alaska Native health, American Indian health","Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from: Genetics Environmental factors Access to care Cultural factors On this page, you'll find links to health issues that affect American Indians and Alaska Natives.","Geriatrics, Pediatrics"
Amino Acid Metabolism Disorders,,"Metabolism is the process your body uses to make energy from the food you eat. Food is made up of proteins, carbohydrates, and fats.",Metabolic Medicine
Amyloidosis,,Amyloidosis occurs when abnormal proteins called amyloids build up and form deposits. The deposits can collect in organs such as the kidney and heart.,Metabolic Medicine
Amyotrophic Lateral Sclerosis,"ALS, Lou Gehrig's disease","Amyotrophic lateral sclerosis (ALS) is a nervous system disease that attacks nerve cells called neurons in your brain and spinal cord. These neurons transmit messages from your brain and spinal cord to your voluntary muscles - the ones you can control, like in your arms and legs.",Neurology
Anabolic Steroids,"Anabolic-androgenic steroids, Performance-enhancing drugs",What are anabolic steroids? Anabolic steroids are synthetic (man-made) versions of testosterone.,Addiction Medicine
Anal Cancer,,The anus is where stool leaves your body when you go to the bathroom. It is made up of your outer layers of skin and the end of your large intestine.,Gastroenterology
Anal Disorders,Anorectal diseases,The anus is the opening of the rectum through which stool passes out of your body. Problems with the anus are common.,Gastroenterology
Anaphylaxis,Anaphylactic shock,"Anaphylaxis is a serious allergic reaction. It can begin very quickly, and symptoms may be life-threatening.",Allergy and Immunology
Anatomy,,"Anatomy is the science that studies the structure of the body. On this page, you'll find links to descriptions and pictures of the human body's parts and organ systems from head to toe.","Hematology, Cardiology"
Anemia,Iron poor blood,"If you have anemia, your blood does not carry enough oxygen to the rest of your body. The most common cause of anemia is not having enough iron.","Hematology, Cardiology"
Anesthesia,,What is anesthesia? Anesthesia is the use of medicines to prevent pain during surgery and other procedures.,"Orthopedic Surgery, Physical Medicine and Rehabilitation"
Aneurysms,,"An aneurysm is a bulge or ""ballooning"" in the wall of an artery. Arteries are blood vessels that carry oxygen-rich blood from the heart to other parts of the body.","Hematology, Cardiology"
Angina,,Angina is chest pain or discomfort you feel when there is not enough blood flow to your heart muscle. Your heart muscle needs the oxygen that the blood carries.,"Hematology, Cardiology"
Angioplasty,"Balloon angioplasty, Coronary angioplasty, Percutaneous coronary intervention (PCI)",What is angioplasty? Angioplasty is a procedure to improve blood flow in coronary arteries that have become narrow or blocked.,"Hematology, Cardiology"
Animal Bites,"Cat bites, Dog bites","Wild animals usually avoid people. They might attack, however, if they feel threatened, are sick, or are protecting their young or territory.",Allergy and Immunology
Animal Diseases and Your Health,Zoonoses,Animal diseases that people can catch are called zoonoses. Many diseases affecting humans can be traced to animals or animal products.,Infectious Disease
Ankle Injuries and Disorders,,"Your ankle bone and the ends of your two lower leg bones make up the ankle joint. Your ligaments, which connect bones to one another, stabilize and support it.",Orthopedics
Ankylosing Spondylitis,Rheumatoid spondylitis,"Ankylosing spondylitis is a type of arthritis of the spine. It causes inflammation between your vertebrae, which are the bones that make up your spine, and in the joints between your spine and pelvis.",Orthopedics
Anthrax,,"Anthrax is a disease caused by Bacillus anthracis, a germ that lives in soil. Many people know about it from the 2001 bioterror attacks.",Infectious Disease
Antibiotic Resistance,,"Antibiotics are medicines that fight bacterial infections. Used properly, they can save lives.",Infectious Disease
Antibiotics,,What are antibiotics? Antibiotics are medicines that fight bacterial infections in people and animals.,Infectious Disease
Antidepressants,"SSRIs, Selective serotonin reuptake inhibitors, Tricyclic antidepressants",What are antidepressants? Antidepressants are prescription medicines to treat depression.,Psychiatry
Anxiety,,"What is anxiety? Anxiety is a feeling of fear, dread, and uneasiness.",Psychiatry
Aortic Aneurysm,,"An aneurysm is a bulge or ""ballooning"" in the wall of an artery. Arteries are blood vessels that carry oxygen-rich blood from the heart to other parts of the body.","Hematology, Cardiology"
Aphasia,,"What is aphasia? Aphasia is a language disorder that makes it hard for you to read, write, and say what you mean to say.",Neurology
Aplastic Anemia,,What is aplastic anemia? Aplastic anemia is a rare but serious blood disorder.,"Hematology, Cardiology"
Appendicitis,,"The appendix is a small, tube-like organ attached to the first part of the large intestine. It is located in the lower right part of the abdomen.",Gastroenterology
Arm Injuries and Disorders,,"Of the 206 bones in your body, three of them are in your arm: the humerus, radius, and ulna. Your arms are also made up of muscles, joints, tendons, and other connective tissue.",Orthopedics
Arrhythmia,Irregular heartbeat,"An arrhythmia is a problem with the rate or rhythm of your heartbeat. It means that your heart beats too quickly, too slowly, or with an irregular pattern.","Hematology, Cardiology"
Arsenic,,"Arsenic is a natural element found in soil and minerals. Arsenic compounds are used to preserve wood, as pesticides, and in some industries.",Medical Toxicology
Arteriovenous Malformations,AVM,Arteriovenous malformations (AVMs) are defects in your vascular system. Your vascular system is your body's network of blood vessels.,"Hematology, Cardiology"
Arthritis,,"If you feel pain and stiffness in your body or have trouble moving around, you might have arthritis. Most kinds of arthritis cause pain and swelling in your joints.",Orthopedics
Artificial Limbs,,People can lose all or part of an arm or leg for a number of reasons. Common ones include: Circulation problems from atherosclerosis or diabetes.,"Orthopedic Surgery, Physical Medicine and Rehabilitation"
Asbestos,,"Asbestos is the name of a group of minerals with long, thin fibers. It was once used widely as insulation.",Pulmonology
Asian American Health,,"Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from: Genetics Environmental factors Access to care Cultural factors On this page, you'll find links to health issues that affect Asian Americans.","Geriatrics, Pediatrics"
Aspergillosis,,Aspergillosis is a disease caused by a fungus (or mold) called Aspergillus. The fungus is very common in both indoors and outdoors.,Infectious Disease
Assisted Living,Residential care,"Assisted living is housing and services for people who need some help with daily care. They may need help with things like dressing, bathing, taking their medicines, and cleaning.",Geriatrics
Assisted Reproductive Technology,"ART, IVF, In Vitro Fertilization",Assisted reproductive technology (ART) is used to treat infertility. It includes fertility treatments that handle both eggs and sperm.,Gynecology
Assistive Devices,Assistive technology,"If you have a disability or injury, you may use a number of assistive devices. These are tools, products or types of equipment that help you perform tasks and activities.","Orthopedic Surgery, Physical Medicine and Rehabilitation"
Asthma,,What is asthma? Asthma is a chronic (long-term) lung disease.,Allergy and Immunology
Asthma in Children,"Childhood asthma, Pediatric asthma",What is asthma? Asthma is a chronic (long-term) lung disease.,Allergy and Immunology
Ataxia Telangiectasia,,"Ataxia-telangiectasia (A-T) is a rare, inherited disease. It affects the nervous system, immune system, and other body systems.",Neurology
Atherosclerosis,Arteriosclerosis,"Atherosclerosis is a disease in which plaque builds up inside your arteries. Plaque is a sticky substance made up of fat, cholesterol, calcium, and other substances found in the blood.","Hematology, Cardiology"
Athlete's Foot,Tinea pedis,Athlete's foot is a common infection caused by a fungus. It most often affects the space between the toes.,Dermatology
Atrial Fibrillation,"AF, AFib","What is atrial fibrillation (AFib)? Atrial fibrillation, also known as AFib or AF, is one of the most common types of arrhythmias.","Hematology, Cardiology"
Attention Deficit Hyperactivity Disorder,ADHD,Is it hard for your child to sit still? Does your child act without thinking first?,Neurology
Autism Spectrum Disorder,"ASD, Pervasive developmental disorder (PDD)","Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life. It affects how a person acts and interacts with others, communicates, and learns.",Psychiatry
Autoimmune Diseases,,"What are autoimmune diseases? Your immune system protects you from disease and infection by attacking germs that get into your body, such as viruses and bacteria.",Allergy and Immunology
Autonomic Nervous System Disorders,Dysautonomia,"Your autonomic nervous system is the part of your nervous system that controls involuntary actions, such as the beating of your heart and the widening or narrowing of your blood vessels. When something goes wrong in this system, it can cause serious problems, including: Blood pressure problems Heart problems Trouble with breathing and swallowing Erectile dysfunction in men Autonomic nervous system disorders can occur alone or as the result of another disease, such as Parkinson's disease, alcoholism and diabetes.",Neurology
Baby Health Checkup,,"There are many new responsibilities when you have a baby. One of them is to make sure that your baby gets regular checkups, which are called well-baby exams.",Pediatrics
Back Injuries,,"Your back is made of bones, muscles, and other tissues extending from your neck to your pelvis. Back injuries can result from sports injuries, work around the house or in the garden, or a sudden jolt such as a car accident.",Orthopedics
Back Pain,"Backache, Lumbago","If you've ever groaned, ""Oh, my aching back!"", you are not alone. Back pain is one of the most common medical problems, affecting 8 out of 10 people at some point during their lives.",Orthopedics
Bacterial Infections,,"Bacteria are living things that have only one cell. Under a microscope, they look like balls, rods, or spirals.",Infectious Disease
Bad Breath,Halitosis,There are many reasons why you might have bad breath. You can get it if you don't brush and floss regularly.,Dentistry
Balance Problems,,"Have you ever felt dizzy, lightheaded, or as if the room is spinning around you? If the feeling happens often, it could be a sign of a balance problem.",Otolaryngology
Barotrauma,,Barotrauma means injury to your body because of changes in barometric (air) or water pressure. One common type happens to your ear.,Otolaryngology
Bed Bugs,,"Bed bugs bite you and feed on your blood. You may have no reaction to the bites, or you may have small marks or itching.",Trauma Surgery
Behcet's Syndrome,Behcet's disease,"Behcet's syndrome is a disease that involves vasculitis, which is inflammation of the blood vessels. It causes problems in many parts of the body.","Hematology, Cardiology"
Bell's Palsy,,Bell's palsy is the most common cause of facial paralysis. It usually affects just one side of the face.,Neurology
Benign Tumors,"Benign neoplasms, Noncancerous tumors",Tumors are abnormal growths in your body. They can be either benign or malignant.,Oncology
Bereavement,Grief,"Bereavement is the period of grief and mourning after a death. When you grieve, it's part of the normal process of reacting to a loss.",Psychiatry
Bile Duct Cancer,Cholangiocarcinoma,Your liver makes a digestive juice called bile. Your gallbladder stores it between meals.,Gastroenterology
Bile Duct Diseases,,Your liver makes a digestive juice called bile. Your gallbladder stores it between meals.,Gastroenterology
Biodefense and Bioterrorism,,"A bioterrorism attack is the deliberate release of viruses, bacteria, or other germs to cause illness or death. These germs are often found in nature.",Medical Toxicology
Biopsy,,A biopsy is a procedure that removes cells or tissue from your body. A doctor called a pathologist looks at the cells or tissue under a microscope to check for damage or disease.,Oncology
Bipolar Disorder,Manic-depressive illness,"What is bipolar disorder? Bipolar disorder is a mood disorder that can cause intense mood swings: Sometimes you may feel extremely ""up,"" elated, irritable, or energized.",Psychiatry
Bird Flu,"Avian flu, Avian influenza, H5N1, H7N9","Birds, just like people, get the flu. Bird flu viruses infect birds, including chickens, other poultry, and wild birds such as ducks.",Pulmonology
Birth Control,Contraception,"What is birth control? Birth control, also known as contraception, is the use of medicines, devices, or surgery to prevent pregnancy.",Gynecology
Birth Defects,,What are birth defects? A birth defect is a problem that happens while a baby is developing in the mother's body.,Medical Genetics
Birth Weight,,"What is birth weight? Birth weight is the first weight of your baby, taken just after being born.",Obstetrics and Gynecology
Birthmarks,"Cafe au lait spot, Hemangioma, Mongolian spot, Nevus, Strawberry mark",Birthmarks are abnormalities of the skin that are present when a baby is born. There are two types of birthmarks.,Dermatology
Black and African American Health,,"Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from: Genetics Environmental factors Access to care Cultural factors On this page, you'll find links to health issues that affect Black and African Americans.","Geriatrics, Pediatrics"
Bladder Cancer,,The bladder is a hollow organ in your lower abdomen that stores urine. Bladder cancer occurs in the lining of the bladder.,"Nephrology, Urology"
Bladder Diseases,,The bladder is a hollow organ in your lower abdomen that stores urine. Many conditions can affect your bladder.,"Nephrology, Urology"
Bleeding,"Hematoma, Hemorrhage","Bleeding is the loss of blood. It can be external, or outside the body, like when you get a cut or wound.","Hematology, Cardiology"
Bleeding Disorders,Clotting disorders,"Normally, if you get hurt, your body forms a blood clot to stop the bleeding. For blood to clot, your body needs cells called platelets and proteins known as clotting factors.","Hematology, Cardiology"
Blisters,"Bulla, Vesicle",What are blisters? Blisters are fluid-filled sacs on the outer layer of your skin.,Dermatology
Blood,,"Your blood is made up of liquid and solids. The liquid part, called plasma, is made of water, salts, and protein.","Hematology, Cardiology"
Blood Clots,Hypercoagulability,"What is a blood clot? A blood clot is mass of blood that forms when platelets, proteins, and cells in the blood stick together.","Hematology, Cardiology"
Blood Count Tests,"CBC, Complete Blood Count, Hematologic Tests","Your blood contains red blood cells (RBC), white blood cells (WBC), and platelets. Blood count tests measure the number and types of cells in your blood.","Hematology, Cardiology"
Blood Disorders,Hematologic diseases,"Your blood is living tissue made up of liquid and solids. The liquid part, called plasma, is made of water, salts and protein.","Hematology, Cardiology"
Blood Glucose,Blood sugar,"What is blood glucose? Blood glucose, or blood sugar, is the main sugar found in your blood.",Endocrinology
Blood Pressure Medicines,"Antihypertensive medicines, High blood pressure medicines","What is high blood pressure? High blood pressure, also called hypertension, is when blood puts too much pressure against the walls of your arteries.","Hematology, Cardiology"
Blood Thinners,"Anti-platelet drugs, Anticoagulants",What are blood thinners? Blood thinners are medicines that prevent blood clots from forming.,"Hematology, Cardiology"
Blood Transfusion and Donation,,"Every year, millions of people in the United States receive life-saving blood transfusions. During a transfusion, you receive whole blood or parts of blood such as: Red blood cells - cells that carry oxygen to and from tissues and organs Platelets - cells that form clots to control bleeding Plasma - the liquid part of the blood that helps clotting.","Hematology, Cardiology"
Body Lice,,What are body lice? Body lice (also called clothes lice) are tiny insects which live and lay nits (lice eggs) on clothing.,Dermatology
Body Weight,,"Do you know if your current weight is healthy? ""Underweight"", ""normal"", ""overweight"", and ""obese"" are all labels for ranges of weight.",Metabolic Medicine
Bone Cancer,,Cancer that starts in a bone is uncommon. Cancer that has spread to the bone from another part of the body is more common.,Orthopedics
Bone Density,Bone mass,Strong bones are important for your health. A bone mineral density (BMD) test is the best way to measure your bone health.,Orthopedics
Bone Diseases,,"Your bones help you move, give you shape and support your body. They are living tissues that rebuild constantly throughout your life.",Orthopedics
Bone Grafts,,"A bone graft transplants bone tissue. Surgeons use bone grafts to repair and rebuild diseased bones in your hips, knees, spine, and sometimes other bones and joints.",Orthopedics
Bone Infections,,"Like other parts of the body, bones can get infected. The infections are usually bacterial, but can also be fungal.",Orthopedics
Bone Marrow Diseases,,"Bone marrow is the spongy tissue inside some of your bones, such as your hip and thigh bones. It contains stem cells.",Allergy and Immunology
Bone Marrow Transplantation,,"Bone marrow is the spongy tissue inside some of your bones, such as your hip and thigh bones. It contains immature cells, called stem cells.",Allergy and Immunology
Botox,Botulinum toxin type A,Botox is a drug made from a toxin produced by the bacterium Clostridium botulinum. It's the same toxin that causes a life-threatening type of food poisoning called botulism.,Dermatology
Botulism,,Botulism is a rare but serious illness. The cause is a toxin (poison) made by a bacterium called Clostridium botulinum.,Infectious Disease
Bowel Incontinence,"Encopresis, Fecal incontinence, Stool soiling","Bowel incontinence is the inability to control your bowels. When you feel the urge to have a bowel movement, you may not be able to hold it until you get to a toilet.",Gastroenterology
Bowel Movement,"BM, Feces, Poop, Stool",A bowel movement is the last stop in the movement of food through your digestive tract. Your stool passes out of your body through the rectum and anus.,Gastroenterology
Brachial Plexus Injuries,,"The brachial plexus is a network of nerves that sends signals from the spine to the shoulder, arm, and hand. Damage to the brachial plexus can cause symptoms such as: A limp or paralyzed arm Lack of muscle control in the arm, hand, or wrist Lack of feeling or sensation in the arm or hand Brachial plexus injuries can happen because of shoulder trauma, tumors, or inflammation.",Neurology
Brain Aneurysm,"Berry aneurysm, Cerebral aneurysm, Intracranial aneurysm","A brain aneurysm is an abnormal bulge or ""ballooning"" in the wall of an artery in the brain. They are sometimes called berry aneurysms because they are often the size of a small berry.","Hematology, Cardiology"
Brain Diseases,,"Your brain is the control center of your body. It controls your thoughts, memory, speech, and movement.",Neurology
Brain Malformations,Cephalic disorders,Most brain malformations begin long before a baby is born. Something damages the developing nervous system or causes it to develop abnormally.,Neurology
Brain Tumors,,"A brain tumor is a growth of abnormal cells in the tissues of the brain. Brain tumors can be benign, with no cancer cells, or malignant, with cancer cells that grow quickly.",Neurology
Breast Cancer,,What is breast cancer? Breast cancer is a cancer that starts in breast tissue.,Gynecology
Breast Diseases,,"Most women experience breast changes at some time. Your age, hormone levels, and medicines you take may cause lumps, bumps, and discharges (fluids that are not breast milk).",Gynecology
Breast Reconstruction,,"If you need a mastectomy, you have a choice about whether or not to have surgery to rebuild the shape of the breast. Instead of breast reconstruction, you could choose to wear a breast form that replaces the breast, wear padding inside your bra, or do nothing.",Gynecology
Breastfeeding,"Lactation, Nursing",Breastfeeding offers many benefits to your baby. Breast milk contains the right balance of nutrients to help your infant grow into a strong and healthy toddler.,Gynecology
Breathing Problems,,"When you're short of breath, it's hard or uncomfortable for you to take in the oxygen your body needs. You may feel as if you're not getting enough air.",Pulmonology
Bronchial Disorders,,"When you breathe in, the air travels down through your trachea (windpipe). It then goes through two tubes to your lungs.",Pulmonology
Bruises,"Contusion, Ecchymoses",A bruise is a mark on your skin caused by blood trapped under the surface. It happens when an injury crushes small blood vessels but does not break the skin.,Dermatology
Bullying and Cyberbullying,,What is bullying? Bullying is when a person or group repeatedly harms someone on purpose.,Pediatrics
Burns,,"A burn is damage to your body's tissues caused by heat, chemicals, electricity, sunlight, or radiation. Scalds from hot liquids and steam, building fires and flammable liquids and gases are the most common causes of burns.",Dermatology
Bursitis,,"A bursa is a small, fluid-filled sac that acts as a cushion between a bone and other moving parts, such as muscles, tendons, or skin. Bursitis occurs when a bursa becomes inflamed.",Orthopedics
C. diff Infections,"Clostridioides difficile infections, Clostridium difficile Infections, Clostridium enterocolitis, Pseudomembranous colitis",What is C. diff? C. diff is a bacterium that can cause diarrhea and more serious intestinal conditions such as colitis.,Gastroenterology
Calcium,,You have more calcium in your body than any other mineral. Calcium has many important jobs.,Orthopedics
Campylobacter Infections,,"Campylobacter infection is a common foodborne illness. You usually get it from eating contaminated food, especially raw or undercooked poultry.",Infectious Disease
Cancer,"Carcinoma, Malignancy, Neoplasms, Tumor","Cancer begins in your cells, which are the building blocks of your body. Normally, your body forms new cells as you need them, replacing old cells that die.",Oncology
Cancer Alternative Therapies,,You have many choices to make about your cancer treatment. One choice you might be thinking about is complementary and alternative medicine (CAM).,Oncology
Cancer Chemotherapy,,What is cancer chemotherapy? Cancer chemotherapy is a type of cancer treatment.,Oncology
Cancer Immunotherapy,,Immunotherapy is a cancer treatment that helps your immune system fight cancer. It is a type of biological therapy.,Oncology
Cancer in Children,,"Cancer is a group of related diseases. In all types of cancer, some of the body's cells begin to divide without stopping and spread into surrounding tissues.",Oncology
Cancer--Living with Cancer,,Learning to live with cancer Cancer is a common disease. Almost 40 percent of Americans will be diagnosed with cancer during their lifetimes.,Oncology
Canker Sores,Aphthous ulcers,"Canker sores are small, round sores in your mouth. They can be on the inside of your cheek, under your tongue, or in the back of your throat.",Dentistry
Carbohydrate Metabolism Disorders,,"Metabolism is the process your body uses to make energy from the food you eat. Food is made up of proteins, carbohydrates, and fats.",Metabolic Medicine
Carbon Monoxide Poisoning,CO poisoning,Carbon monoxide (CO) is a gas that has no odor or color. But it is very dangerous.,Medical Toxicology
Carcinoid Tumors,,"Carcinoid tumors are rare, slow-growing cancers. They usually start in the lining of the digestive tract or in the lungs.",Oncology
Cardiac Rehabilitation,,"Cardiac rehabilitation (rehab) is a medically supervised program to help people who have: A heart attack Angioplasty or coronary artery bypass grafting for coronary heart disease A heart valve repair or replacement A heart transplant or a lung transplant Angina Heart failure The goal is to help you return to an active life, and to reduce the risk of further heart problems. A team of specialists will create a plan for you that includes exercise training, education on heart healthy living, and counseling to reduce stress.","Hematology, Cardiology"
Cardiomyopathy,"Arrhythmogenic right ventricular cardiomyopathy, Dilated cardiomyopathy, Hypertrophic cardiomyopathy, Myocardiopathy, Restrictive cardiomyopathy",Cardiomyopathy is the name for diseases of the heart muscle. These diseases enlarge your heart muscle or make it thicker and more rigid than normal.,"Hematology, Cardiology"
Carotid Artery Disease,,Your carotid arteries are two large blood vessels in your neck. They supply your brain and head with blood.,"Hematology, Cardiology"
Carpal Tunnel Syndrome,Median nerve entrapment,"What is carpal tunnel syndrome? Carpal tunnel syndrome is the name for a group of problems that includes numbness, tingling, weakness, or pain in your wrist or hand.",Orthopedics
Cartilage Disorders,,"Cartilage is the tough but flexible tissue that covers the ends of your bones at a joint. It also gives shape and support to other parts of your body, such as your ears, nose and windpipe.",Orthopedics
Cat Scratch Disease,"CSD, Cat scratch fever",Cat scratch disease (CSD) is an illness caused by the bacterium Bartonella henselae. Almost half of all cats carry the infection at some point.,Infectious Disease
Cataract,,A cataract is a clouding of the lens in your eye. It affects your vision.,Ophthalmology
Celiac Disease,"Celiac sprue, Gluten-sensitive enteropathy, Nontropical sprue",What is celiac disease? Celiac disease is a chronic (long-term) digestive and immune disorder that damages your small intestine.,Gastroenterology
Cellulitis,,Cellulitis is an infection of the skin and deep underlying tissues. Group A strep (streptococcal) bacteria are the most common cause.,Dermatology
Cerebellar Disorders,,When you play the piano or hit a tennis ball you are activating the cerebellum. The cerebellum is the area of the brain that controls coordination and balance.,Neurology
Cerebral Palsy,CP,"What is cerebral palsy (CP)? Cerebral palsy (CP) is a group of disorders that cause problems with movement, balance, and posture.",Neurology
Cervical Cancer,,"The cervix is the lower part of the uterus, the place where a baby grows during pregnancy. Cervical cancer is caused by a virus called HPV.",Gynecology
Cervical Cancer Screening,,"The cervix is the lower part of the uterus, the place where a baby grows during pregnancy. Cancer screening is looking for cancer before you have any symptoms.",Gynecology
Cervix Disorders,,"The cervix is the lower part of the uterus, the place where a baby grows during pregnancy. The cervix has a small opening that expands during childbirth.",Gynecology
Cesarean Delivery,"C-section, Cesarean section","What is a cesarean delivery? A cesarean delivery, also called a cesarean section or c-section, is surgery to deliver a baby.",Gynecology
Chagas Disease,"American trypanosomiasis, South American trypanosomiasis","What is Chagas disease? Chagas disease, or American trypanosomiasis, is an illness that can cause serious heart and stomach problems.",Infectious Disease
Charcot-Marie-Tooth Disease,"Hereditary motor and sensory neuropathy, Peroneal muscular atrophy",Charcot-Marie-Tooth disease (CMT) is a group of genetic nerve disorders. It is named after the three doctors who first identified it.,Neurology
Chest Injuries and Disorders,,What is the chest? The chest is the part of your body between your neck and your abdomen (belly).,Orthopedics
Chest Pain,,Having a pain in your chest can be scary. It does not always mean that you are having a heart attack.,"Hematology, Cardiology"
Chiari Malformation,Arnold-Chiari Malformation,Chiari malformations (CMs) are structural defects in the cerebellum. The cerebellum is the part of the brain that controls balance.,Neurology
Chickenpox,Varicella,"Chickenpox is an infection caused by the varicella-zoster virus. Most cases are in children under age 15, but older children and adults can get it.",Dermatology
Chikungunya,,"Chikungunya is a virus that spread by the same kinds of mosquitoes that spread dengue and Zika virus. Rarely, it can spread from mother to newborn around the time of birth.",Infectious Disease
Child Abuse,,"Child abuse is doing something or failing to do something that results in harm to a child or puts a child at risk of harm. Child abuse can be physical, sexual or emotional.",Trauma Surgery
Child Behavior Disorders,Conduct disorders,All kids misbehave some times. And some may have temporary behavior problems due to stress.,Psychiatry
Child Dental Health,,"Healthy teeth are important to your child's overall health. From the time your child is born, there are things you can do to promote healthy teeth and prevent cavities.",Dentistry
Child Development,,"As children grow older, they develop in several different ways. Child development includes physical, intellectual, social, and emotional changes.",Pediatrics
Child Mental Health,,"It's important to recognize and treat mental illnesses in children early on. Once mental illness develops, it becomes a regular part of your child's behavior.",Psychiatry
Child Nutrition,,"A healthy diet helps children grow and learn. It also helps prevent obesity and weight-related diseases, such as diabetes.",Pediatrics
Child Safety,,"As parents, we want to keep our children safe from harm. Take steps to keep your children safe: Install the right child safety seat in your car Teach children how to cross the street safely Make sure they wear the right gear and equipment for sports Install and test smoke alarms Store medicines, cleaners and other dangerous substances in locked cabinets Babyproof your home Don't leave small children unattended",Pediatrics
Child Sexual Abuse,,Sexual abuse is one form of child abuse. It includes a wide range of actions between a child and an adult or older child.,Pediatrics
Childbirth,,"When you are ready to have your baby, you'll go through labor. Labor is the process of giving birth.",Gynecology
Childbirth Problems,,Childbirth is the process of giving birth to a baby. It includes labor and delivery.,Obstetrics and Gynecology
Childhood Brain Tumors,,Brain tumors are abnormal growths inside the skull. They are among the most common types of childhood cancers.,Neurology
Childhood Leukemia,,What is leukemia? Leukemia is a term for cancers of the blood cells.,"Hematology, Cardiology"
